name,thermal_conductivity(W/mK),moisture_conductivity(kg/msPa),specific_heat(J/kgK),density(kg/m3),porosity
シージング,0.0586,2.61E-11,0.0,0.0,0.0
通気層,0.0058,8.69E-12,0.00E+00,0,0
グラスウール1,0.045,1.58E-10,8.40E+02,16,1.19
木材,0.0824,1.86E-12,1.62E+03,484,0.928
構造用合板1,0.16,4.58E-12,1.86E+03,600,0.864
石膏ボード,0.2192,2.93E-11,8.70E+02,700,0.946
ALC,0.137,3.79E-11,1.05E+03,500,0.96
軟質繊維版,0.0586,2.61E-11,1.50E+03,306,0.928
サーモプライ,0.2111,2.29E-11,1.31E+03,715,0.864
サイディング,0.963,4.17E-10,8.79E+02,1095,0.72
土壁,0.522,2.03E-11,1.05E+03,1334,0.72
軽量モルタル,0.522,2.79E-11,1.05E+03,1091,0.612
セルロースファイバー,0.021,5.00E-14,8.78E+02,38.6,1.154
発泡プラスチック1,0.0339,3.48E-12,1.26E+03,30,1.164
発泡プラスチック2,0.028,2.61E-12,1.26E+03,40,1.152
発泡プラスチック3,0.036,1.30E-10,8.37E+02,32,1.162
グラスウール2,0.0379,1.30E-10,8.38E+02,16,1.181
集成材,0.1397,8.94E-12,1.26E+03,413,0.86
構造用合板2,0.1596,1.36E-12,1.30E+03,644,0.864
